NAME,total_housing_units,owner_occupied,renter_occupied,median_household_income,rent_burden_30_34,rent_burden_35_39,rent_burden_40_49,rent_burden_50_plus,rent_burden_total,education_total,no_schooling,nursery_school,total_population,white_non_hispanic,state,county,tract
Census Tract 91; King County; Washington,2011,71,1940,37793,184,92,217,537,1940,2694,297,0,3173,825,53,033,009100
Census Tract 92; King County; Washington,2121,93,2028,39117,132,189,306,431,2028,2894,117,0,3373,1387,53,033,009200
Census Tract 93; King County; Washington,1628,624,1004,120455,122,48,115,159,1004,2857,25,0,3364,1608,53,033,009300
Census Tract 94; King County; Washington,3322,1465,1857,94185,387,91,79,241,1857,5176,191,0,6289,2761,53,033,009400
Census Tract 95; King County; Washington,3114,1737,1377,141116,130,125,143,240,1377,5543,91,0,7179,3157,53,033,009500
Census Tract 96; King County; Washington,2859,1909,950,157846,90,37,30,179,950,5084,14,0,6057,4854,53,033,009600
Census Tract 97.01; King County; Washington,2736,1459,1277,121875,76,99,127,208,1277,4796,24,0,6029,4419,53,033,009701
Census Tract 97.02; King County; Washington,2319,1711,608,171696,0,125,17,100,608,4262,0,0,6093,5040,53,033,009702
Census Tract 98.01; King County; Washington,1671,1023,648,102725,30,33,58,236,648,2434,15,0,3409,2833,53,033,009801
Census Tract 98.02; King County; Washington,1825,956,869,130197,215,110,16,132,869,3257,18,0,4214,3126,53,033,009802
Census Tract 99; King County; Washington,3079,1675,1404,109050,226,71,188,199,1404,4892,30,0,5803,3343,53,033,009900
Census Tract 100.01; King County; Washington,1675,691,984,87113,46,176,128,219,984,2836,238,0,4148,1230,53,033,010001
Census Tract 100.02; King County; Washington,2194,1185,1009,103263,48,88,99,344,1009,4027,133,0,4865,2193,53,033,010002
Census Tract 101.01; King County; Washington,1759,656,1103,46863,153,27,192,293,1103,2710,187,0,4246,1580,53,033,010101
Census Tract 101.02; King County; Washington,1835,1212,623,144323,12,15,99,99,623,3621,29,0,4693,2888,53,033,010102
Census Tract 102; King County; Washington,2058,1829,229,166979,10,0,18,7,229,3988,68,0,5439,3178,53,033,010200
Census Tract 103.01; King County; Washington,1575,1054,521,129563,34,0,20,222,521,3137,49,0,4190,1958,53,033,010301
Census Tract 103.02; King County; Washington,1754,518,1236,126157,178,52,99,249,1236,2931,0,0,3438,2386,53,033,010302
Census Tract 104.01; King County; Washington,1396,986,410,134620,74,37,27,17,410,3385,32,0,4672,1148,53,033,010401
Census Tract 104.02; King County; Washington,1613,1195,418,96891,7,12,7,32,418,3478,126,0,4660,998,53,033,010402
Census Tract 105.01; King County; Washington,2334,708,1626,116142,103,132,92,227,1626,3602,8,0,4315,3133,53,033,010501
Census Tract 105.02; King County; Washington,3091,1158,1933,120518,193,174,87,332,1933,4940,0,0,5769,4363,53,033,010502
Census Tract 106.01; King County; Washington,2005,1266,739,149542,39,48,103,59,739,3622,13,0,4245,3190,53,033,010601
Census Tract 106.02; King County; Washington,1962,1157,805,104244,21,99,22,310,805,3127,11,0,3923,3369,53,033,010602
Census Tract 107.01; King County; Washington,1771,898,873,102330,111,54,70,197,873,3123,113,0,4220,1661,53,033,010701
Census Tract 107.02; King County; Washington,1938,904,1034,95410,181,43,16,256,1034,3252,103,0,5012,1884,53,033,010702
Census Tract 108; King County; Washington,1878,1445,433,149375,8,0,0,181,433,3698,101,0,5023,2469,53,033,010800
Census Tract 109; King County; Washington,702,419,283,96250,37,26,44,44,283,1030,21,0,1181,780,53,033,010900
Census Tract 110.01; King County; Washington,1927,863,1064,51546,50,192,105,280,1064,3756,246,0,5067,757,53,033,011001
Census Tract 110.02; King County; Washington,1282,784,498,82386,74,96,6,59,498,2920,184,0,4801,544,53,033,011002
Census Tract 111.01; King County; Washington,2005,796,1209,91284,171,144,77,242,1209,3634,90,0,4807,1468,53,033,011101
Census Tract 111.02; King County; Washington,1959,1032,927,112125,123,47,102,204,927,4042,54,0,5759,2233,53,033,011102
Census Tract 112; King County; Washington,1482,688,794,83397,190,77,22,188,794,2681,130,0,4060,1383,53,033,011200
