NAME,total_housing_units,owner_occupied,renter_occupied,median_household_income,rent_burden_30_34,rent_burden_35_39,rent_burden_40_49,rent_burden_50_plus,rent_burden_total,education_total,no_schooling,nursery_school,total_population,white_non_hispanic,state,county,tract,pct_renters,pct_cost_burdened,pct_poc,income_inverted,pct_renters_norm,pct_cost_burdened_norm,pct_poc_norm,income_inverted_norm,displacement_risk_score
Census Tract 1.01; King County; Washington,1730,159,1571,69028,58,95,223,392,1571,2633,0,0,3370,1289,53,33,101,0.9080924855491329,0.48886059834500317,0.6175074183976261,1.4486874891348438e-05,0.906448189151236,0.5790051058412449,0.6486386393576667,0.29237737352815746,0.6066173269695763
Census Tract 53.06; King County; Washington,1772,152,1620,42941,0,328,31,603,1620,1668,18,0,3404,1055,53,33,5306,0.9142212189616253,0.5938271604938271,0.6900705052878966,2.3287766936028505e-05,0.912686570336645,0.7033272042728307,0.7329412915506137,0.537748640131776,0.7216759265729664
Census Tract 53.07; King County; Washington,492,8,484,40548,18,128,0,210,484,291,0,0,3119,1663,53,33,5307,0.983739837398374,0.7355371900826446,0.46681628727156144,2.4662128834961033e-05,0.9834489305345031,0.8711681613035578,0.47356805512118283,0.5760662240994916,0.7260628427646838
Census Tract 54.01; King County; Washington,2147,710,1437,139519,81,115,185,159,1437,2884,0,0,3306,2210,53,33,5401,0.6693060083837913,0.3757828810020877,0.3315184513006655,7.1674825650986604e-06,0.663389637535667,0.4450761782081464,0.3163811589027119,0.088310722472446,0.3782894242797428
Census Tract 54.02; King County; Washington,1778,464,1314,108500,137,63,110,332,1314,2466,0,0,2963,2143,53,33,5402,0.7390326209223848,0.4885844748858447,0.27674654066824167,9.216589861751152e-06,0.73436371301045,0.5786780659995466,0.25274801524978496,0.14544039185525187,0.42780754652875835
Census Tract 56; King County; Washington,2684,2364,320,220244,0,0,18,68,320,5180,0,0,7158,5718,53,33,5600,0.11922503725782414,0.26875,0.20117351215423307,4.540418808230871e-06,0.10346729310330309,0.31830673758865247,0.16494846025540696,0.015067469606873182,0.15044749013855893
Census Tract 57; King County; Washington,3069,2127,942,185409,72,0,49,128,942,4991,61,0,6614,4714,53,33,5700,0.3069403714565005,0.2643312101910828,0.2872694284850318,5.39348143833363e-06,0.29454099957107066,0.3130731354745449,0.2649733406831659,0.03885108801485666,0.22785964093590955
Census Tract 58.01; King County; Washington,3269,1140,2129,137104,76,73,121,184,2129,5292,0,0,6359,4317,53,33,5801,0.6512695013765678,0.21324565523720057,0.3211196729045448,7.293733224413584e-06,0.6450304434915911,0.25256754911072693,0.3043000218407598,0.09183062523098173,0.3234321599185149
Census Tract 58.03; King County; Washington,1471,652,819,169263,83,44,45,54,819,2765,49,0,3237,2223,53,33,5803,0.5567641060503059,0.27594627594627597,0.3132530120481928,5.907965710167018e-06,0.5488342736726749,0.3268299864044545,0.29516065908052097,0.053195049602671816,0.30600499219008054
Census Tract 58.04; King County; Washington,1533,324,1209,100873,72,45,76,150,1209,2143,15,0,2508,1710,53,33,5804,0.7886497064579256,0.2837055417700579,0.31818181818181823,9.913455533195205e-06,0.7848684865169657,0.33602003883404025,0.30088686846626317,0.16486919652490675,0.39666114758554394
Census Tract 59.01; King County; Washington,1233,530,703,158074,0,55,23,77,703,1999,0,7,3607,2290,53,33,5901,0.570154095701541,0.22048364153627312,0.36512337122262273,6.326151043182307e-06,0.5624638205775573,0.26114019955005396,0.3554228259204977,0.064854170554967,0.31097025415076895
Census Tract 59.02; King County; Washington,1741,1215,526,177314,64,57,81,35,526,2730,14,0,4316,3130,53,33,5902,0.30212521539345205,0.4505703422053232,0.27479147358665434,5.6397126002458915e-06,0.28963969664813716,0.533654235094248,0.25047664908750783,0.04571607985533874,0.2798716651713079
Census Tract 60; King County; Washington,3174,1482,1692,144559,34,113,50,338,1692,4881,32,0,6329,4222,53,33,6000,0.5330812854442344,0.31619385342789597,0.33291199241586344,6.917590741496552e-06,0.5247277491197904,0.37449910299616046,0.31800015303575857,0.08134367038728814,0.32464266888474935
Census Tract 61; King County; Washington,3210,1515,1695,138986,251,75,120,179,1695,4820,0,0,6104,4693,53,33,6100,0.5280373831775701,0.3687315634218289,0.23115989515072088,7.194969277481185e-06,0.519593607547037,0.43672461766982573,0.1997861680296109,0.0890770594980372,0.3112953631861277
Census Tract 62; King County; Washington,1667,1533,134,250001,0,12,0,7,134,3244,39,0,4239,3240,53,33,6200,0.08038392321535692,0.1417910447761194,0.23566878980891715,3.9999840000639995e-06,0.0639312815403021,0.16793691118873716,0.20502453087268233,0.0,0.1092231809004304
Census Tract 63; King County; Washington,2641,1458,1183,189236,89,34,29,238,1183,4226,24,0,5844,4987,53,33,6300,0.44793638773191974,0.32967032967032966,0.14664613278576322,5.2844067724957194e-06,0.43805954344463766,0.3904606032265607,0.10159940917597524,0.035810056631317234,0.24148240311962269
